Epic ID,Epic,Task ID,Task,Type,Module,Priority,Story Points,Depends On,Sprints,Acceptance
E07,Geometry Engine,E07-T03,Volume、Girth 和 irregular policy,ENGINE,engine/geometry,MUST,8,E07-T01,S4,公式和证据正确
E07,Geometry Engine,E07-T04,Package Feature Evaluator,ENGINE,engine/geometry,MUST,8,E07-T03,S4,多分支命中但特征唯一
E08,Weight Engine,E08-T01,Actual/Volumetric calculator,ENGINE,engine/weight,MUST,8,E07-T03,"S4,S5",divisor 带单位；不重复舍入
E08,Weight Engine,E08-T02,Conditional Minimum resolver,ENGINE,engine/weight,MUST,8,E07-T04,"S4,S5",MAX/FIRST/EXCLUSIVE
E08,Weight Engine,E08-T03,六类 Billable Strategy,ENGINE,engine/weight,MUST,13,"E08-T01,E08-T02","S4,S5",MAX/ACTUAL/VOLUMETRIC/THRESHOLD/PARTIAL/BLENDED
E08,Weight Engine,E08-T04,Carrier billed weight strategy,ENGINE,engine/weight,MUST,5,E05-T03,"S4,S5",不再执行系统 billable method
E08,Weight Engine,E08-T05,Weight rounding trace,ENGINE,engine/weight,MUST,5,E08-T03,"S4,S5",精确倍数不多加 increment
E09,Aggregation 与 Rate Lookup,E09-T01,五种 Aggregation 模式,ENGINE,engine/aggregation,MUST,13,E08-T05,S5,PER_PACKAGE/SHIPMENT_TOTAL/FIRST_CONTINUE/MASTER/HYBRID
E09,Aggregation 与 Rate Lookup,E09-T02,确定性最大余数分摊,ENGINE,engine/aggregation,MUST,8,"E02-T05,E09-T01",S5,分摊总和严格守恒
E09,Aggregation 与 Rate Lookup,E09-T03,WEIGHT_ZONE/COUNTRY/REGION indexes,ENGINE,engine/ratelookup,MUST,13,E06-T02,S5,左闭右开、唯一命中
E09,Aggregation 与 Rate Lookup,E09-T04,FIRST_CONTINUE/PER_UNIT/FLAT,ENGINE,engine/ratelookup,MUST,8,E06-T02,S5,续重次数 ceiling
E09,Aggregation 与 Rate Lookup,E09-T05,Tiered/Indexed/Published/Custom lookup,ENGINE,engine/ratelookup,MUST,13,E06-T02,S5,banded/progressive 区分
E10,Charge、Fuel、Currency 与商业转换,E10-T01,Basis Resolver,ENGINE,engine/charge,MUST,13,E09-T05,"S6,S7",SelectedCharges 无自引用
E10,Charge、Fuel、Currency 与商业转换,E10-T02,11 种 Charge Method,ENGINE,engine/charge,MUST,13,E10-T01,"S6,S7",全部方法算法一致
E10,Charge、Fuel、Currency 与商业转换,E10-T03,Composition Executor,ENGINE,engine/charge,MUST,13,"E06-T03,E10-T02","S6,S7",REPLACE→EXCLUSIVE→FIRST→MAX→STACK→CAP
E10,Charge、Fuel、Currency 与商业转换,E10-T04,Fuel Policy,ENGINE,engine/charge,MUST,8,E10-T03,"S6,S7",基数 source line 和 index 证据完整
E10,Charge、Fuel、Currency 与商业转换,E10-T05,Currency Engine,ENGINE,engine/currency,MUST,13,E02-T02,"S6,S7",方向/path/version/rounding 完整
E10,Charge、Fuel、Currency 与商业转换,E10-T06,Cost Plus 与 Target Margin,ENGINE,engine/charge,MUST,13,"E10-T03,E10-T05","S6,S7",target margin 公式正确；无环
E11,Stage Executor 与 RatingApplication,E11-T01,26 Stage 类型化接口,ENGINE,engine/stage,MUST,13,"E07-T04,E08-T05,E09-T05,E10-T06",S7,阶段顺序与语义规范一致
E11,Stage Executor 与 RatingApplication,E11-T02,稳定并行执行与合并,ENGINE,engine/stage,MUST,13,E11-T01,S7,串行/并行 content hash 相同
E11,Stage Executor 与 RatingApplication,E11-T03,Evaluation Validator/Builder,ENGINE,domain/rating,MUST,13,E11-T01,S7,Package/Line/Manifest/Total 完整
E11,Stage Executor 与 RatingApplication,E11-T04,RatingApplication 两段事务,APPLICATION,application/rating,MUST,13,"E03-T05,E05-T04,E06-T06,E11-T03",S7,崩溃恢复、幂等、Outbox
E12,API、Eligibility 与 Comparison,E12-T01,Eligibility endpoint,API,http-adapter,MUST,8,"E04-T01,E05-T01",S8,eligible=false 为成功判断
E12,API、Eligibility 与 Comparison,E12-T02,Rating create/read endpoint,API,http-adapter,MUST,13,E11-T04,S8,201/202/Problem/Projection
E12,API、Eligibility 与 Comparison,E12-T03,Comparison Application/endpoint,APPLICATION,application/comparison,MUST,13,E11-T04,S8,候选独立失败、稳定排序
E12,API、Eligibility 与 Comparison,E12-T04,字段级 Cost Projection,SECURITY,application/projection,MUST,8,E12-T02,S8,无 cost:read 时 BUY 泄露为 0
E12,API、Eligibility 与 Comparison,E12-T05,OpenAPI Contract Test,TEST,test/contract,MUST,8,"E12-T01,E12-T02,E12-T03",S8,示例、未知字段、Decimal、errors 全通过
E13,Quote Management,E13-T01,Quote Domain 与状态机,DOMAIN,domain/quote,MUST,8,E02-T02,S9,DRAFT/OFFERED/ACCEPTED/EXPIRED/CANCELLED/SUPERSEDED
E13,Quote Management,E13-T02,Quote Repository 与 ETag,DATABASE,postgres-adapter,MUST,8,"E03-T01,E13-T01",S9,If-Match 并发冲突
E13,Quote Management,E13-T03,Quote Application commands,APPLICATION,application/quote,MUST,13,"E13-T02,E12-T02",S9,仅引用 completed SELL/PUBLIC；Accept 不建应收
E13,Quote Management,E13-T04,Quote API Contract Test,TEST,test/contract,MUST,8,E13-T03,S9,6 Quote operation 全通过
E14,Async、Batch 与 Replay,E14-T01,Worker lease/reaper,APPLICATION,application/worker,MUST,13,"E03-T06,E11-T04","S9,S10",过期 lease 可恢复；只有一个 COMPLETE
E14,Async、Batch 与 Replay,E14-T02,Batch Application/API,APPLICATION,application/batch,MUST,13,E14-T01,"S9,S10",1000 item；局部失败；cursor
E14,Async、Batch 与 Replay,E14-T03,Replay Application/API,APPLICATION,application/replay,MUST,13,"E06-T06,E14-T01","S9,S10",不调用 current resolver；hash 对比
E14,Async、Batch 与 Replay,E14-T04,故障注入测试,TEST,test/fault,MUST,13,"E14-T01,E14-T02,E14-T03","S9,S10",事务A后崩溃、提交不确定、artifact timeout
E15,治理、导入与运营能力,E15-T01,RateCard staging/import,APPLICATION,application/governance,MUST,13,"E03-T01,E04-T02",S10,COPY、行错误报告、不可直接 ACTIVE
E15,治理、导入与运营能力,E15-T02,UPS Ground 基线导入适配,APPLICATION,adapters/import,MUST,13,E15-T01,S10,1050 基础费率与附加费一致；歧义隔离
E15,治理、导入与运营能力,E15-T03,Release 审批与激活,APPLICATION,application/governance,MUST,13,"E06-T05,E15-T01",S10,SoD、Golden Gate、原子激活
E15,治理、导入与运营能力,E15-T04,Rating Explanation Query,APPLICATION,application/query,MUST,8,E11-T03,S10,回答事实、公式、规则、价表、舍入
E16,可观测性、安全、性能与上线,E16-T01,Metrics/Tracing/Business Trace,OBSERVABILITY,telemetry-adapter,MUST,8,E11-T04,S11,无高基数/敏感字段
E16,可观测性、安全、性能与上线,E16-T02,安全测试与审计,SECURITY,test/security,MUST,13,"E03-T02,E12-T04,E13-T03",S11,tenant/BUY/Artifact/PII 泄露为0
E16,可观测性、安全、性能与上线,E16-T03,性能基准与容量压测,PERFORMANCE,test/performance,MUST,13,"E12-T02,E14-T02",S11,单包热P95目标、200包、1000批量
E16,可观测性、安全、性能与上线,E16-T04,HA、备份和恢复演练,DEVOPS,operations,MUST,13,"E03-T01,E14-T01",S11,PITR 后 Replay hash 一致
E16,可观测性、安全、性能与上线,E16-T05,灰度发布和回滚演练,DEVOPS,release,MUST,8,"E15-T03,E16-T02,E16-T03,E16-T04",S11,pricing/app/db 各自可回滚
E16,可观测性、安全、性能与上线,E16-T06,MVP-A 验收与冻结,GOVERNANCE,program,MUST,5,E16-T05,S11,所有 MUST 门禁为绿
